scanname,Scan008
-89.565048000000004,31
-86.968575000000001,31
-84.373833000000005,37
-81.780822999999998,13
-79.189537000000001,30
-76.599982999999995,32
-74.012161000000006,14
-71.426070999999993,6
-68.841705000000005,16
-66.259056000000001,48
-63.678134999999997,61
-61.098930000000003,18
-58.521450000000002,15
-55.945683000000002,4
-53.371634999999998,5
-50.799309000000001,19
-48.228687000000001,12
-45.659782,54
-43.092593999999998,52
-40.527102999999997,39
-37.963326000000002,23
-35.401260000000001,40
-32.840893000000001,50
-30.282236000000001,75
-27.725276999999998,69
-25.170024999999999,94
-22.61647,96
-20.064615,132
-17.514448000000002,165
-14.965984000000001,198
-12.419216,420
-9.8741409999999998,1173
-7.330756,3662
-4.7890620000000004,8944
-2.2490570000000001,15241
0.28926200000000002,17439
2.8258939999999999,16058
5.360849,11178
7.8941129999999999,5807
10.425694999999999,2937
12.955598,1277
15.48382,497
18.010365,343
20.535233000000002,255
23.058437000000001,158
25.579958000000001,124
28.099806000000001,79
30.617982999999999,74
33.134487,49
35.649329999999999,62
38.162509999999997,52
40.674022999999998,49
43.183857000000003,52
45.692047000000002,61
48.198559000000003,55
50.703426,28
53.206637999999998,26
55.708176000000002,23
58.208072999999999,26
60.706299000000001,49
63.202888000000002,4
65.697815000000006,16
68.191092999999995,51
70.682715999999999,-5
73.172713999999999,17
75.661057,46
78.147743000000006,24
80.632796999999997,44
83.116187999999994,43
85.597969000000006,8
88.078086999999996,20
90.556586999999993,38
93.033432000000005,20
95.508651999999998,31
97.982239000000007,16
100.454185,14
102.92449999999999,24
105.393181,-4
107.86024500000001,21
110.325676,21
112.78948200000001,36
115.251671,37
117.712227,-14
120.17115800000001,10
122.628456,6
125.08416699999999,24
127.538246,50
129.99070699999999,21
132.441574,-13
134.89077800000001,13
137.338379,9
139.784424,23
142.22882100000001,3
144.67158499999999,32
147.112762,31
149.55233799999999,9
151.99031099999999,6
154.42669699999999,7
156.861435,12
159.294601,18
161.72616600000001,21
164.156128,28
166.584518,-6
169.01126099999999,-4
171.436432,33
173.860016,50
176.282028,45
178.70242300000001,-7
181.121216,62
183.538422,45
185.95408599999999,53
188.36811800000001,108
190.780609,80
193.19146699999999,144
195.60076900000001,171
198.008499,197
200.41467299999999,231
202.81918300000001,252
205.22219799999999,323
207.62359599999999,302
210.02345299999999,381
212.421738,409
214.81838999999999,437
217.21353099999999,463
219.607101,485
221.9991,526
224.38949600000001,543
226.77835099999999,601
229.165649,568
231.55139199999999,690
233.935562,677
236.31814600000001,695
238.699219,761
241.07872,787
243.45668000000001,808
245.83303799999999,826
248.207855,885
250.58116100000001,870
252.95289600000001,930
255.32309000000001,950
257.69168100000002,923
260.058807,963
262.42431599999998,938
264.78832999999997,940
267.150757,961
269.51165800000001,955
271.87103300000001,945
274.22885100000002,972
276.58517499999999,912
278.93988000000002,974
281.29312099999999,948
283.64480600000002,981
285.99496499999998,991
288.34356700000001,932
290.69061299999998,985
293.03619400000002,970
295.38021900000001,961
297.72271699999999,998
300.06369000000001,985
302.40313700000002,1027
304.74105800000001,968
307.07748400000003,974
309.41235399999999,947
311.74569700000001,942
314.07757600000002,964
316.40786700000001,1006
318.736694,979
321.06399499999998,982
323.389771,960
325.71404999999999,954
328.03680400000002,971
330.35803199999998,999
332.67776500000002,1008
334.99600199999998,975
337.31274400000001,973
339.62799100000001,946
341.94168100000002,1000
344.25387599999999,968
346.56460600000003,938
348.87380999999999,953
351.18154900000002,964
353.48776199999998,925
355.79248000000001,973
358.09570300000001,945
360.39742999999999,940
362.69766199999998,945
364.99636800000002,961
367.29367100000002,955
369.58941700000003,977
371.88372800000002,913
374.17648300000002,947
376.46777300000002,926
378.75759900000003,921
381.04595899999998,923
383.33279399999998,1000
385.61819500000001,950
387.902039,918
390.18447900000001,942
392.46536300000002,975
394.74487299999998,951
397.02282700000001,892
399.29937699999999,963
401.57440200000002,935
403.84799199999998,922
406.12011699999999,936
408.39074699999998,879
410.659851,901
412.92755099999999,963
415.19378699999999,936
417.45855699999998,945
